name,justify
王迅, 物理学家，主要从事半导体物理和表面物理研究。1934年4月生于上海。1956年毕业于复旦大学物理系，1960年该系研究生毕业。1999年当选为中国科学院院士。
王贻芳,"  
实验高能物理学家，长期从事高能物理实验研究。1963年2月生于江苏省南京市。1984年毕业于南京大学物理系，1991年在意大利佛罗伦萨大学获博士学位。2015年当选中国科学院院士。"
王玉鹏, 理论物理学家，主要从事数学物理和凝聚态理论方面的研究。1965年3月出生于山东省武城县。1984年毕业于山东大学，1994年获中国科学院物理研究所博士学位。2021年当选为中国科学院院士。
王梓坤, 数学家，致力于马尔可夫(Markov)过程及相关领域的研究。1929年4月生于湖南零陵。1952年毕业于武汉大学数学系，1958年于苏联莫斯科大学数学力学系获副博士学位，1988年于澳大利亚麦克里大学获名誉科学博士学位。1991年当选为中国科学院学部委员(院士)。
魏宝文, 核物理学家，主要从事核物理和加速器物理研究。1935年11月生于河南禹州。1957年毕业于北京大学物理系。1995年当选为中国科学院院士。
文兰,"  
数学家，主要从事微分动力学研究。1946年3月生于甘肃兰州。1969年毕业于北京大学数学力学系，1986年获美国西北大学博士学位。1999年当选为中国科学院院士。"
吴岳良, 理论物理学家，主要从事粒子物理和量子场论研究。1962年2月生于江苏宜兴。1982年毕业于南京大学。1987年于中国科学院理论物理研究所获理学博士学位。2007年当选为中国科学院院士。
武向平, 天体物理学家，主要从事宇宙学方面的研究。1961年1月生于陕西省黄龙县。1982年毕业于西北电讯工程学院，1985年获该校硕士学位，1989年于中国科学院北京天文台获博士学位。2011年当选为中国科学院院士。
席南华," 
数学家，主要从事代数群与量子群领域研究。1963年3月生于广东省英德。1981年毕业于湖南怀化师范专科学校（现怀化学院）数学科，1985年、1988年先后获华东师范大学数学系硕士、博士学位。2009年当选中国科学院院士。"
夏道行, 数学家，主要从事泛函分析、复变函数论、概率论研究。1930年10月生于江苏泰州。1950年毕业于山东大学数学系。1952年浙江大学数学系研究生毕业。1980年当选为中国科学院学部委员(院士)。
夏克青, 流体力学家，主要从事流体湍流研究。1958年5月出生于北京市。1981年毕业于兰州大学，1987年获美国匹茨堡大学博士学位。2021年当选为中国科学院院士。
向涛," 
物理学家，主要从事凝聚态理论研究。1963年4月出生于湖北省兴山县。1984年毕业于清华大学物理系，1986年获该校硕士学位，1990年于中国科学院理论物理研究所获博士学位。2013年当选为中国科学院院士。
物理学家，主要从事凝聚态理论研究。1963年4月出生于湖北省兴山县。1984年毕业于清华大学物理系，1986年获该校硕士学位，1990年于中国科学院理论物理研究所获博士学位。2013年当选为中国科学院院士。"
谢心澄, 凝聚态物理学家，长期从事凝聚态物理理论研究。1959年2月生于江苏省南京市。1982年毕业于中国科学技术大学近代物理系，1988年于美国马里兰大学获博士学位。2015年当选为中国科学院院士。
邢定钰, 物理学家，长期从事凝聚态理论研究。1945年2月生于上海。1967年毕业于南京大学，1981年在该校获硕士学位。2007年当选为中国科学院院士。
熊大闰, 天文学家，主要从事恒星对流理论以及与之有关的恒星结构、演化和脉动稳定性问题的研究。1938年9月生于江西吉安。1962年毕业于北京大学地球物理系。1991年当选为中国科学院学部委员（院士）。
徐红星, 物理学家，主要从事等离激元光子学、分子光谱和纳米光学的研究。1969年5月出生于江苏省灌云县。1992年毕业于北京大学，1998年和2002年分别获瑞典查尔莫斯理工大学硕士和博士学位。2017年当选为中国科学院院士。
徐至展, 物理学家，主要从事激光物理、现代光学与等离子体物理领域研究。1938年12月生于江苏常州。1962年毕业于复旦大学，1965年于北京大学物理系获硕士学位。1991年当选为中国科学院学部委员(院士)。
严加安, 数学家，主要从事随机分析和金融数学研究。1941年12月生于江苏邗江。1964年毕业于中国科学技术大学应用数学系。1999年当选为中国科学院院士。
杨国桢, 光物理学家，对光学信息处理、光与物质相互作用作过系统研究并取得重要成果。1938年3月生于湖南湘潭。1962年毕业于北京大学物理系，1965年该系研究生毕业。1999年当选为中国科学院院士。
杨应昌, 物理学家，主要从事物质磁性研究。1934年5月生于北京。1958年毕业于北京大学物理系。1997年当选为中国科学院院士。
杨振宁, 物理学家，主要从事统计力学和对称原理、粒子物理研究。1922年9月出生于安徽合肥。1938至1944年在国立西南联合大学物理系读书，先后获学士、硕士学位，1948年于美国芝加哥大学获哲学博士学位。1994年当选为中国科学院外籍院士，2016年转为中国科学院院士。
叶朝辉, 物理学家，主要从事波谱学研究。1942年3月生于四川简阳。1965年毕业于北京大学无线电电子学系。2001年当选为中国科学院院士。
叶叔华, 天文学家，主要从事地球自转研究并推进有关新技术在中国的建立。1927年6月生于广东广州。1949年毕业于中山大学。1980年当选为中国科学院学部委员(院士)。
叶向东, 动力系统专家，长期从事基础数学中拓扑动力系统、遍历理论以及它们应用的研究。1963年生于安徽宁国市。1979-1985年在中科大数学系学习，1983年获该校学士学位，1985年获该校硕士学位；1991年于莫斯科大学获博士学位。2019年当选为中国科学院院士。
于渌, 理论物理学家，主要从事高温超导、强关联电子体系、低维量子系统等方面研究。1937年8月生于江苏镇江。1961年毕业于苏联国立哈尔科夫大学理论物理专业。1999年当选为中国科学院院士。
袁亚湘," 
数学家，主要从事运筹学研究并取得了系统成果，在信赖域法、拟牛顿法、非线性共轭梯度法等方法方面做出了重要贡献。1960年1月生于湖南省资兴市。1981年毕业于湘潭大学数学系，1986年于英国剑桥大学获博士学位。2011年当选为中国科学院院士。
数学家，主要从事运筹学研究并取得了系统成果，在信赖域法、拟牛顿法、非线性共轭梯度法等方法方面做出了重要贡献。1960年1月生于湖南省资兴市。1981年毕业于湘潭大学数学系，1986年于英国剑桥大学获博士学位。2011年当选为中国科学院院士。"
詹文龙, 核物理学家，主要从事低能、中能、相对论性重离子物理研究和加速器大科学工程研制，对重离子核物理和新核素合成进行了系统性的研究。1955年10月生于福建省厦门市。1982年毕业于兰州大学现代物理系。2005年当选中国科学院院士。
张殿琳, 物理学家，主要从事实验凝聚态物理学的基础研究。1934年11月生于陕西三原。1956年毕业于西北大学物理系。2001年当选为中国科学院院士。
张恭庆, 数学家，主要从事非线性泛函分析及非线性偏微分方程理论研究。1936年5月生于上海。1959年毕业于北京大学数学系。1991年当选为中国科学院学部委员（院士）。
张焕乔, 核物理学家，主要从事中子物理、裂变物理和重离子反应的实验研究。1933年12月生于重庆市。1956年毕业于北京大学物理系。1997年当选中国科学院院士。
张杰, 物理学家，主要从事高能量密度物理前沿研究。1958年1月生于山西省太原市。1988年于中科院物理所获博士学位。2003年当选为中国科学院院士。
张继平, 数学家。主要从事有限群及模表示论方面研究。1958年7月生于山西省。1981年毕业于山东大学数学系并获学士学位，1984年毕业于北京大学数学系并获硕士学位，1987年毕业于北京大学数学系并获博士学位。2019年当选为中国科学院院士。
张平, 数学家，主要从事非线性偏微分方程方面的研究。1969年9月出生于江苏省高淳县。1991年毕业于南京大学，1994年、1997年分别获该校硕士、博士学位。2021年当选为中国科学院院士。
张平文, 计算数学家，主要从事复杂流体的数学理论和计算方法研究。1966年7月生于湖南省长沙县。1988年毕业于北京大学数学系，1992年于北京大学获博士学位。2015年当选为中国科学院院士。
张仁和, 声学家，主要从事浅海与深海水声物理规律研究。1936年11月生于重庆。1958年毕业于北京大学物理系。1991年当选为中国科学院学部委员（院士）。
张淑仪, 声学家，长期从事超声物理和光声科学研究工作。1935年12月生于浙江温州。1956年毕业于南京大学物理系，1960年于南京大学声学专业获硕士学位。1991年当选为中国科学院学部委员（院士）。
张维岩, 等离子体物理学家，长期从事激光驱动惯性约束聚变大科学工程研究。1956年3月生于北京。1982年毕业于北京大学物理系，1988年于比利时布鲁塞尔自由大学获博士学位。2011年当选为中国科学院院士。
张伟平, 数学家，主要从事微分几何中的 Atiyah-Singer 指标理论的研究。1964年3月生于上海。1985年毕业于复旦大学，1988年于中国科学院数学研究所获硕士学位，1993年于法国巴黎南大学获博士学位。2007年当选为中国科学院院士。
张裕恒, 物理学家，主要从事超导电性、巨磁电阻效应和低维物理等方面的研究工作。1938年3月生于江苏省宿迁市。1961年毕业于南京大学物理系，1965年于中国科学院物理研究所获硕士学位。2005年当选为中国科学院院士。
张肇西, 粒子物理学家，主要从事理论物理研究。1940年7月生于广西。1963年毕业于中国科学技术大学近代物理系。2011年当选为中国科学院院士。
张宗烨, 核理论物理学家。1935年1月生于北京。1956年毕业于北京大学物理系。1999年当选为中国科学院院士。
赵光达, 理论物理学家，主要研究粒子物理和量子场论，着重于强子物理和量子色动力学的研究。1939年10月生于陕西西安。1963年毕业于北京大学物理系。2001年当选为中国科学院院士。
赵红卫, 离子加速器物理及技术专家，主要从事等离子体离子源、电子冷却、回旋和直线加速器研究。1966年1月生于甘肃省宁县。1988年毕业于成都科技大学（现四川大学）应用物理系，1995年和1996年分别获俄罗斯杜布纳核联合研究所和中国科学院近代物理研究所博士学位。2019年当选为中国科学院院士。
赵政国, 实验粒子物理学家，长期从事粒子物理实验研究。1956年12月出生于湖南省靖县。1982年毕业于中国科学技术大学近代物理系，1988年获该校博士学位。2013年当选为中国科学院院士。
赵忠贤, 物理学家，长期从事低温与超导研究。1941年1月生于辽宁新民。1964年毕业于中国科学技术大学技术物理系。1991年当选为中国科学院学部委员(院士)。
郑厚植,"  
物理学家，主要从事半导体低维量子结构物理及新器件研究。1942年8月出生。1965年毕业于清华大学无线电电子学系。1995年当选中国科学院院士。"
郑晓静," 
力学家，主要研究领域为板壳非线性力学、电磁固体力学、风沙环境力学。1958年5月生于湖北省武汉。1982年在华中科技大学获工学学士学位，1987年在兰州大学获理学博士学位，2009年当选中国科学院院士。"
周光召, 理论物理、粒子物理学家，主要从事高能物理、核武器理论等方面研究。1929年5月生于湖南长沙。1951年毕业于清华大学，1954年于北京大学获硕士学位。1980年当选为中国科学院学部委员(院士)。
周恒, 流体力学家，主要从事湍流及转捩研究。1929年11月生于上海。1950年毕业于北洋大学水利系。1993年当选为中国科学院院士。
周向宇, 数学家，主要从事多复变与复几何的研究。1965年3月生于湖南省郴州市。1985年毕业于湘潭大学数学系，1988年、1990年先后获中国科学院数学研究所硕士、博士学位。1998年于俄罗斯科学院数学所获科学博士学位。2013年当选为中国科学院院士。
朱邦芬, 凝聚态物理学家，现从事凝聚态物理理论研究，主要研究方向是受限小量子系统物理和半导体超快光学过程理论。1948年1月生于上海。1970年毕业于清华大学工程物理系，1981年获该校硕士学位。2003年当选为中国科学院院士。
朱诗尧, 量子光学专家，长期从事量子光学领域研究。1945年12月生于上海市静安区。1968年毕业于华东师范大学物理系，1981于山西大学获硕士学位，1986年于上海交通大学获博士学位。2015年当选中国科学院院士。
邹冰松, 理论物理学家，主要从事强子物理研究。1964年2月出生于吉林省长春市。1984年毕业于北京大学，1987年获中国科学院高能物理研究所硕士学位，1990年获中国科学院理论物理研究所博士学位。2021年当选为中国科学院院士。
邹广田,"  
物理学家，长期从事高压物理和高压相材料研究。1938年7月生于吉林长春。1962年毕业于吉林大学物理系，1965年该系研究生毕业。2001年当选为中国科学院院士。"
陈桂林, 空间红外遥感技术专家，长期从事光电技术研究。1941年12月17日生于福建南安。1967年毕业于西安交通大学无线电工程系。2001年当选为中国科学院院士。
陈国良, 计算机专家，主要从事并行算法研究。1938年6月3日生于安徽颍上。1961年毕业于西安交通大学计算机专业。2003年当选为中国科学院院士。
陈翰馥, 自动控制理论专家，主要从事系统控制、信号处理等领域的研究。1937年2月10日生于杭州。1961年毕业于列宁格勒大学数学力学系。1993年当选为中国科学院院士。
陈俊亮, 通信与电子系统专家，主要从事通信与信息系统、计算机应用研究。1933年10月10日生于浙江宁波。1955年毕业于上海交通大学电讯系，1961年获苏联莫斯科电讯工程学院副博士学位。1991年当选为中国科学院院士（学部委员）。
陈星旦, 应用光学专家，主要从事短波光学技术、近红外光谱技术与应用研究。1927年5月6日生于湖南湘乡。1950年毕业于湖南大学物理系。1999年当选为中国科学院院士。
褚君浩, 半导体物理和器件专家，长期从事红外光电子材料和器件的研究。1945年生于江苏宜兴。1966年毕业于上海师范学院物理系，1981年和1984年先后获中国科学院上海技术物理研究所硕士、博士学位。2005年当选为中国科学院院士。
崔铁军, 电磁场与微波技术专家，主要从事电磁超材料和计算电磁学的研究。1965年9月生于河北滦平，籍贯河北省滦平县。1987年毕业于西安电子科技大学电磁场工程系，1990年获该校硕士学位，1993年获该校博士学位。2019年当选为中国科学院院士。
戴汝为, 控制论与人工智能专家，主要从事模式识别、人工智能、复杂系统理论和方法研究。1932年12月31日生于云南昆明。1955年毕业于北京大学数学力学系。1991年当选为中国科学院院士（学部委员）。
丁赤飚, 雷达成像理论和技术专家，从事新体制合成孔径雷达成像理论和技术研究。1969年7月出生于江苏省如东县。1991年毕业于北京航空航天大学，1994、1997年分别获该校硕士、博士学位。2021年当选为中国科学院院士。
段广仁, 控制科学专家，主要从事控制系统参数化设计研究。1962年4月5日生于黑龙江省桦川县。1993年毕业于东北重型机械学院应用数学专业，1986年获哈尔滨工程大学硕士学位，1989年获哈尔滨工业大学博士学位。2019年当选为中国科学院院士。
董韫美, 计算机软件专家，主要从事软件理论、技术、工具和汉字信息处理等研究。1936年3月4日生于云南昆明。1956年毕业于吉林大学数学系。1993年当选为中国科学院院士。
房建成, 导航、制导与控制专家，主要从事航天器姿态控制磁悬浮惯性执行机构和惯性导航技术研究工作。1965年9月生于山东费县，籍贯山东临沂。1983年毕业于山东工学院（现山东大学），1988年获西安交通大学硕士学位，1996年获东南大学博士学位。2015年当选为中国科学院院士。
冯登国, 网络与信息安全专家，主要从事保密通信、网络安全和可信计算等理论与技术研究。1965年5月生于陕西靖边。1988年毕业于陕西师范大学数学系，1993年和1995年分别于西安电子科技大学获硕士学位和博士学位。2019年当选为中国科学院院士。
干福熹, 光学材料、非晶态物理学家，主要从事非晶态物理、固体光学和光谱学以及光信息存储研究。1933年1月3日生于浙江杭州。1952年毕业于浙江大学，1959年获苏联科学院硅酸盐化学研究所副博士学位。1980年当选为中国科学院院士（学部委员）。
龚旗煌, 光学专家，长期从事非线性光学前沿与时空小尺度光学研究。1964年8月15日出生于福建省莆田市。1983年和1989年分别获得北京大学学士学位和博士学位（中英联合培养）。2013年当选为中国科学院院士。
顾瑛, 激光医学专家，主要从事激光在临床医学中的应用研究。1959年6月生于北京市。1982年毕业于天津医科大学，1988年和2000年于解放军医学院获硕士和博士学位。2015年当选为中国科学院院士。
管晓宏, 系统工程学家，主要从事网络化系统特别是能源电力系统优化与安全理论与应用研究。1955年11月出生于四川省泸州市。1985年毕业于清华大学，获该校学士学位与硕士学位，1993年获美国康涅狄格大学博士学位。2017年当选为中国科学院院士。
郭光灿, 光学和量子信息专家，主要从事量子光学、量子密码、量子通信和量子计算的理论和实验研究。1942年12月9日生于福建惠安。1965年毕业于中国科学技术大学无线电电子学系。2003年当选为中国科学院院士。
郭雷, 控制科学家，主要从事系统控制科学研究。1961年11月1日生于山东淄博。1982年毕业于山东大学数学系，1987年获中国科学院系统科学研究所博士学位。2001年当选为中国科学院院士。
郝跃, 微电子学与固体电子学家，长期从事宽禁带半导体高功率微波电子学领域的研究和人才培养。1958年3月21日出生于重庆市。1982年毕业于西安电子科技大学技术物理系，1991年在西安交通大学获博士学位。2013年当选为中国科学院院士。
何积丰, 计算机软件专家，主要从事计算机软件理论及应用研究。1943年8月生于上海市。1965年毕业于复旦大学数学系。2005年当选为中国科学院院士。
侯朝焕, 信号处理和声学专家，主要从事声学和信息处理研究。1936年9月29日生于四川自贡。1958年毕业于北京大学物理系。1995年当选为中国科学院院士。
侯洵, 光学家，从事瞬态光学方面的研究工作。1936年12月6日生于陕西咸阳。1959年毕业于西北大学物理系。1991年当选为中国科学院院士（学部委员）。
怀进鹏, 计算机软件专家，主要从事网络化软件技术与系统研究工作。1962年12月生于黑龙江哈尔滨。1984年毕业于吉林工业大学（现吉林大学），1987年获哈尔滨工业大学硕士学位，1993年获北京航空航天大学博士学位。2009年当选为中国科学院院士。
黄琳, 控制科学专家，主要从事系统稳定性与控制理论方面的研究。1935年11月30日生于江苏扬州。1957年毕业于北京大学数学力学系，1961年北京大学数力系研究生毕业。2003年当选为中国科学院院士。
黄如, 微电子器件专家，主要从事微电子低功耗器件及工艺研究。1969年11月生于江苏省南京市，籍贯福建南安。1991年毕业于东南大学电子工程系，1994年获该校硕士学位，1997年于北京大学获博士学位。2015年当选为中国科学院院士。
黄维, 有机光电子专家，长期从事有机光电子学研究。1963年5月生于河北省唐山市。1983年毕业于北京大学，1992年在北京大学获博士学位。2011年当选为中国科学院院士。
简水生, 光纤通信和电磁兼容专家，主要从事光纤通信及光电子器件研究。1929年10月25日生于江西萍乡。1953年毕业于北京铁道学院电信系。1995年当选为中国科学院院士。
江风益, 半导体发光学家，主要从事半导体发光材料生长、芯片制造、器件物理和专用装备研究。1963年9月生于江西省余干县。1984年毕业于吉林大学物理系，1989年于中国科学院长春物理所（现光机物理所）获硕士学位。2019年当选为中国科学院院士。
姜杰, 运载火箭导航制导与控制专家，长期从事运载火箭导航制导控制技术研究与工程研制工。1960年7月生于黑龙江哈尔滨市。1983年毕业于国防科技大学自动控制系，1988年在航天工业部第一研究院获硕士学位。2015年当选为中国科学院院士。
金亚秋, 电磁波物理与遥感科学专家，长期从事复杂自然环境与目标电磁散射、辐射传输和空间微波遥感定量信息技术领域的研究。1946年9月出生于上海市。1970年毕业于北京大学，1985年获美国麻省理工学院（MIT）博士学位。2011年当选为中国科学院院士。
匡定波, 红外及遥感专家，长期从事红外应用及遥感技术领域研究。1930年9月1日生于江苏无锡。1952年毕业于上海交通大学物理系。1991年当选为中国科学院院士（学部委员）。
雷啸霖, 材料物理学家，长期从事固体材料中的电子输运和超导电性研究。1938年10月27日生于广西桂林。1963年毕业于北京大学物理系。1997年当选为中国科学院院士。
李启虎, 水声信号处理和声纳设计专家，长期从事信号处理理论和声纳设计、研制工作。1939年7月22日生于浙江温州。1963年毕业于北京大学数学力学系。1997年当选为中国科学院院士。
李树深, 半导体器件物理专家，主要从事半导体低维量子结构中的器件物理基础研究。1963年3月出生于河北省保定市。1983年毕业于河北师范大学，1989年、1996年先后在西南交通大学和中国科学院半导体研究所获硕士和博士学位。2011年当选为中国科学院院士。
李未, 计算机专家，主要从事并发程序语言的结构操作语义方法、翻译理论和实现技术研究。1943年6月8日生于北京。1966年毕业于北京大学数学力学系，1983年获英国爱丁堡大学计算机科学博士学位。1997年当选为中国科学院院士。
黎湘, 雷达目标识别领域专家，主要从事雷达目标精细特征反演与识别的基础理论、关键技术和应用系统研究。1967年9月出生于湖南省长沙市。1989年毕业于西安电子科技大学，1995、1998年分别获国防科技大学硕士、博士学位。2021年当选为中国科学院院士。
李衍达, 信号处理与智能控制专家，主要从事信号处理理论和地震勘探数据处理方法的研究。1936年10月12日生于广东东莞。1959年毕业于清华大学自动控制系。1991年当选为中国科学院院士（学部委员）。
林惠民, 计算机软件与理论专家，长期从事计算机程序的形式语义学及形式化方法的研究。1947年11月13日生于福建福州。1982年毕业于福州大学计算机科学系，1986年获中国科学院软件研究所博士学位。1999年当选为中国科学院院士. 
刘明, 微电子科学与技术专家，长期从事半导体存储器和集成电路的微纳加工等方面的研究。1964年4月生于江西丰城市。1985年毕业于合肥工业大学，1988年获该校硕士学位，1998年于北京航空航天大学获博士学位。2015年当选为中国科学院院士。
刘盛纲, 电子物理学家，主要从事电子回旋脉塞、自由电子激光与高功率微波、微波电子学及微波等离子体电子学、生物电子学等研究。1933年12月25日生于安徽肥东。1955年毕业于南京工学院。1958年在成都电讯工程学院获得副博士学位。1980年当选为中国科学院院士（学部委员）。
刘颂豪, 光学与激光专家，主要从事光学和激光研究研究。1930年11月生于广东广州市。1951年毕业于广东文理学院。1999年当选为中国科学院院士。
刘益春, 光电功能材料与器件专家，主要从事氧化物半导体光电功能材料与器件研究。1962年12月出生于吉林省辉南县。1985年毕业于东北师范大学，1988、1996年分别获中国科学院长春物理研究所硕士、博士学位。2021年当选为中国科学院院士。
刘永坦, 电子工程专家，主要从事高频超视距雷达系统设计技术、微弱信号检测与处理技术、雷达成像及信号处理技术研究。1936年12月1日生于江苏南京。1953年-1958年先后就读于哈尔滨工业大学与清华大学无线电系。1994年选聘为中国工程院院士。1991年当选为中国科学院院士（学部委员）。
陆建华, 通信与信息系统专家，主要从事无线传输的理论及应用研究。1963年7月生于江苏南通市。1986年毕业于清华大学无线电电子学系，1989年获该校硕士学位，1998年于香港科技大学获博士学位。2015年当选为中国科学院院士。
陆汝钤, 计算机科学家，主要从事知识工程和基于知识的软件工程领域研究。1935年2月15日生于上海。1959年毕业于德国耶拿大学数学系，获学士学位。1999年当选为中国科学院院士。
吕建, 计算机软件专家，主要从事软件方法学研究。1960年3月31日出生于江苏省南京市。1982年毕业于南京大学计算机系，1984年获该校硕士学位，1988年获该校博士学位。2013年当选为中国科学院院士。
毛军发, 电子学家，主要研究高速电路互连与射频电子封装。1965年8月生于湖南省邵阳县。1985年于国防科技大学获学士学位，1988年于中国科学院上海原子核研究所获硕士学位，1992年于上海交通大学获博士学位。2017年当选为中国科学院院士。
梅宏, 计算机软件专家，主要从事软件工程和系统软件领域的研究。1963年5月生于贵州省余庆县。1984和1987年分别于南京航空学院获学士和硕士学位，1992年于上海交通大学获博士学位。2011年当选为中国科学院院士。
彭堃墀, 光学专家，主要从事量子光学、固体激光技术等领域的基础与应用研究。1936年8月25日生于江苏镇江。1961年毕业于四川大学物理系。2003年当选为中国科学院院士。
钱德沛, 计算机科学家，主要从事计算机体系结构和高性能计算系统研究。1952年8月出生于上海市。1977年毕业于西安交通大学，1984年获美国北德克萨斯州立大学硕士学位。2021年当选为中国科学院院士。
乔红, 机器人理论与应用专家，主要从事机器人理论与应用研究。1964年8月出生于上海。1986年毕业于西安交通大学，1989年获该校硕士学位，1992年获英国思克莱德大学硕士学位，1995年获英国德蒙福特大学博士学位。2021年当选为中国科学院院士。
秦国刚, 半导体材料物理专家，长期从事半导体材料物理研究。1934年3月19日生于南京。1961年北京大学物理系研究生毕业。2001年当选为中国科学院院士。
沈绪榜, 计算机专家，从事嵌入式计算机及芯片设计。1933年1月10日生于湖南临澧。1957年毕业于北京大学数学力学系。1997年当选为中国科学院院士。
宋健, 控制论专家，主要从事控制论、系统工程和航空航天技术研究。1931年12月29日生于山东荣成。1958年在苏联莫斯科包曼高等工学院获工程师学位，1960年在莫斯科大学力学数学系毕业，同年包曼高工研究生毕业，获副博士学位，后又获科学博士学位。1991当选为中国科学院院士（学部委员）。
谭铁牛, 模式识别与计算机视觉专家，主要从事模式识别、图像处理和计算机视觉方面的研究。1964年1月20日出生于湖南省茶陵县。1984年毕业于西安交通大学，1986年与1989年分别获英国帝国理工学院硕士与博士学位。2013年当选为中国科学院院士。
王怀民, 分布计算领域专家，主要从事面向网络的分布计算研究。1962年4月出生于江苏省南京市。1983年毕业于中国人民解放军信息工程学院应用数学专业，1988年获国防科学技术大学硕士学位，1992年获国防科学技术大学博士学位。2019年当选为中国科学院院士。
王家骐, 光学仪器专家，长期从事大型光学精密仪器设计、空间对地图像信息获取技术研究及总体误差理论分析。1940年2月生于江苏苏州。1963年毕业于哈尔滨工业大学，1966年获中国科学院长春光学精密机械研究所硕士学位。2005年当选为中国科学院院士。
王金龙, 无线通信领域专家，长期致力于短波通信领域数据传输、抗干扰和频谱认知理论与方法研究。1963年1月出生于河北省海兴县。1983年毕业于中国人民解放军通信工程学院无线电通信工程专业，1986年获该校硕士学位，1992年获该校博士学位。2019年当选为中国科学院院士。
王建宇, 光电技术专家，主要从事空间光电技术和系统的研究。1959年6月出生于浙江省宁波市。1982年毕业于杭州大学物理系，1987年在中科院上海技术物理研究所获硕士学位，1990年在该所获博士学位。2017年当选为中国科学院院士。
王立军, 激光与光电子技术专家，长期从事高功率半导体激光技术等领域的基础与应用研究。1946年7月13日出生于吉林省舒兰市。1973年毕业于吉林大学半导体系，1982年获该校硕士学位。2013年当选为中国科学院院士。
王启明, 光电子学家，主要从事半导体光电子学研究。1934年7月3日生于福建。1956年毕业于复旦大学物理系。1991年当选为中国科学院院士（学部委员）。
王巍, 导航、制导与控制专家，长期从事光纤陀螺与惯性系统等新型惯性技术研究工作。1966年10月9日出生于陕西省汉中市。1988年毕业于北京航空航天大学自动控制系，1991年获该校硕士学位，1998年于中国运载火箭技术研究院获博士学位。2013年当选为中国科学院院士。
王阳元, 微电子学家，主要从事微电子学与固体电子学研究。1935年1月1日生于浙江宁波。1958年北京大学物理系毕业。1995年当选为中国科学院院士。
王永良, 雷达技术专家，长期从事雷达信号处理理论与技术的研究。1965年6月生于浙江嘉兴市。1987年毕业于空军雷达学院，1990年和1994年于西安电子科技大学获硕士和博士学位。2015年当选为中国科学院院士。
王育竹, 量子光学专家，长期从事电磁场与原子相互作用的研究。1932年2月29日生于河北正定。1955年毕业于清华大学无线电工程系，1960年苏联科学院电子学研究所研究生毕业获博士学位。1997年当选为中国科学院院士。
王越, 雷达与通迅系统专家，长期从事电子学与通信领域研究。1932年4月1日生于江苏丹阳。1956年毕业于中国人民解放军通信学院雷达工程系。1991年当选为中国科学院院士（学部委员）。
王占国, 半导体材料物理学家，早期致力于半导体材料光电性质和硅太阳电池辐照效应研究；从1980年起，主要从事半导体深能级物理和光谱物理研究。1938年12月出生于河南省镇平。1962年毕业于南开大学物理系。1995年当选为中国科学院院士。
王之江, 物理学家，主要从事光学设计、激光科学技术研究。1930年11月21日生于浙江杭州。1952年毕业于大连大学工学院物理系。1991当选为中国科学院院士（学部委员）。
吴朝晖, 计算机应用专家，主要从事计算机领域研究。1966年12月出生于浙江温州。1988年毕业于浙江大学计算机系，1993年在浙江大学获博士学位。2017年当选为中国科学院院士。
吴德馨, 半导体器件和集成电路专家，目前正在从事砷化镓微波集成电路和光电模块的研究。1936年12月20日生于河北乐亭。1961年毕业于清华大学无线电电子工程系。1991当选为中国科学院院士（学部委员）。
吴宏鑫, 控制理论与控制工程专家，主要从事航天和工业领域的自适应控制和智能控制理论与应用研究。1939年10月8日生于江苏丹徒。1965年毕业于清华大学自动控制系。2003年当选为中国科学院院士。
吴培亨, 超导电子学家，长期从事超导电子学的研究。1939年生于上海市。1961年毕业于南京大学物理系。2005年当选为中国科学院院士。
吴一戎, 信号与信息处理学家，长期从事合成孔径雷达（SAR）系统以及遥感卫星地面处理和应用系统的研究。1963年7月生于北京。1985、1988年先后在北京理工大学获学士和硕士学位，2001年在中国科学院电子学研究所获博士学位。2007年当选为中国科学院院士。
夏建白, 半导体物理专家，主要从事低维半导体微结构电子态的量子理论及其应用研究。1939年生于上海。1965年北京大学物理系研究生毕业。2001年当选为中国科学院院士。
相里斌, 光学家，主要从事光学、光谱成像理论和技术研究。1967年3月生于陕西省西安市。1990年毕业于中国科技大学精密机械与精密仪器系，1995年于中国科学院西安光机所获博士学位。2019年当选为中国科学院院士。
徐宗本, 信号与信息处理专家，主要从事智能信息处理、机器学习、数据建模基础理论研究。1955年1月生于陕西省柞水县。1976年毕业于西北大学数学系， 1982年和1987年分别于西安交通大学获理学硕士和博士学位。2011年当选为中国科学院院士。
许宁生, 真空微纳电子学家，长期从事真空微纳电子学研究。1957年7月生于广东普宁。1982年毕业于中山大学物理系，1986年获英国Aston大学博士学位。2009年当选为中国科学院院士。
薛永祺, 红外和遥感技术专家，从事多光谱和成像光谱技术研究。1937年1月11日生于江苏张家港。1959年毕业于华东师范大学物理系，获学士学位。1999年当选为中国科学院院士。
杨德仁, 半导体材料学家，主要从事半导体硅材料研究。1964年4月出生于江苏省扬州市。1985年毕业于浙江大学材料系，1991年在该校获博士学位。2017年当选为中国科学院院士。
杨芙清, 计算机软件专家，主要从事系统软件、软件工程、软件工业化生产技术和系统等方面的教学与研究。1932年11月6日生于江苏无锡。1958年北京大学数力系研究生毕业。1991年当选为中国科学院院士（学部委员）。
